Rank, IGN, Tier, LP, Win-Lose, Winrate, Most Played, KDA, Avg CS, KP, 
rank 90,frygo,challenger,887 LP,112W 99L,WR 53%,Jayce,2.13:1 KDA,CS 200.6 (8.2),
rank 91,pump the menace,challenger,886 LP,161W 136L,WR 54%,LeBlanc,3.24:1 KDA,CS 197 (7.7),
rank 92,jeongjihoonfan1,challenger,884 LP,156W 131L,WR 54%,Jayce,3.13:1 KDA,CS 196.9 (8.2),
rank 93,A41G Frappii,challenger,883 LP,94W 68L,WR 58%,Ashe,2.96:1 KDA,CS 197.3 (7.6),
rank 94,slowqq,challenger,883 LP,106W 88L,WR 55%,LeBlanc,3.76:1 KDA,CS 230.9 (8.8),
rank 95,Hey Law I Love Y,challenger,883 LP,108W 91L,WR 54%,Jax,2.36:1 KDA,CS 195.1 (7.7),
rank 96,l will engage,challenger,882 LP,174W 159L,WR 52%,Rakan,3.31:1 KDA,CS 33.1 (1.3),
rank 97,Notiko,challenger,875 LP,115W 95L,WR 55%,Ezreal,3.51:1 KDA,CS 208.1 (8.2),
rank 98,4th June,challenger,867 LP,88W 60L,WR 59%,Rell,4.48:1 KDA,CS 30.5 (1.2),
rank 99,abagnale1,challenger,862 LP,112W 86L,WR 57%,Nautilus,2.97:1 KDA,CS 31.1 (1.3),
rank 100,Terrør,challenger,858 LP,102W 77L,WR 57%,Renekton,1.51:1 KDA,CS 169.1 (6.8),
